ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38782028,55.32306444,133,5,59,4.8978398,1.791759469,4.094344562,4.89034988,1.609457912,4.077539139,651500.1765,6133339.447,9
2,11.38782361,55.32310806,48,1,6,3.891820298,0.693147181,1.945910149,3.871203094,1.00E-04,1.791776136,651500.2216,6133344.307,4
3,11.38782361,55.32303889,34,4,8,3.555348061,1.609437912,2.197224577,3.526363466,1.386319361,2.079454042,651500.4855,6133336.612,5
4,11.38780972,55.32276778,73,0,7,4.304065093,0,2.079441542,4.290460811,-9.210340372,1.945924435,651500.6387,6133306.42,6
5,11.38782417,55.32301972,34,4,26,3.555348061,1.609437912,3.295836866,3.526363466,1.386319361,3.258100384,651500.5938,6133334.481,8
6,11.38782944,55.323085,49,1,0,3.912023005,0.693147181,0,3.891822339,1.00E-04,-9.210340372,651500.6796,6133341.754,9
7,11.38782306,55.32297583,25,2,0,3.258096538,1.098612289,0,3.218879825,0.693197179,-9.210340372,651500.6908,6133329.595,9
8,11.38782528,55.32299667,60,1,3,4.110873864,0.693147181,1.386294361,4.094346229,1.00E-04,1.098645621,651500.7523,6133331.918,4
9,11.38782528,55.32293111,59,2,4,4.094344562,1.098612289,1.609437912,4.077539139,0.693197179,1.386319361,651501.0024,6133324.625,6
10,11.38782194,55.32281889,16,8,3,2.833213344,2.197224577,1.386294361,2.772594972,2.079454042,1.098645621,651501.2191,6133312.133,3
11,11.38783,55.32290944,67,1,82,4.219507705,0.693147181,4.418840608,4.204694112,1.00E-04,4.406720467,651501.3846,6133322.225,10
12,11.38782667,55.32284111,47,1,2,3.871201011,0.693147181,1.098612289,3.850149729,1.00E-04,0.693197179,651501.4338,6133314.615,1
13,11.38782944,55.32288611,158,2,16,5.068904202,1.098612289,2.833213344,5.062595666,0.693197179,2.772594972,651501.4384,6133319.628,6
14,11.38783472,55.32295278,48,2,0,3.891820298,1.098612289,0,3.871203094,0.693197179,-9.210340372,651501.5188,6133327.056,7
15,11.38783694,55.32286472,317,3,129,5.762051383,1.386294361,4.86753445,5.758902089,1.098645621,4.85981318,651501.9957,6133317.264,6
16,11.38783556,55.32278889,56,0,1,4.043051268,0,0.693147181,4.025353476,-9.210340372,1.00E-04,651502.1969,6133308.825,8
17,11.38785583,55.32310806,50,2,9,3.931825633,1.098612289,2.302585093,3.912025005,0.693197179,2.197235688,651502.2656,6133344.377,7
18,11.38785528,55.32306444,40,1,14,3.713572067,0.693147181,2.708050201,3.688881954,1.00E-04,2.639064472,651502.3967,6133339.524,8
19,11.38785889,55.32303917,33,1,3,3.526360525,0.693147181,1.386294361,3.496510592,1.00E-04,1.098645621,651502.7222,6133336.719,6
20,11.38785806,55.32302028,26,1,35,3.295836866,0.693147181,3.583518938,3.258100384,1.00E-04,3.555350919,651502.7414,6133334.616,7
21,11.38785611,55.32297583,27,2,0,3.33220451,1.098612289,0,3.29584057,0.693197179,-9.210340372,651502.7876,6133329.667,1
22,11.387845,55.32276778,72,0,8,4.290459441,0,2.197224577,4.276667508,-9.210340372,2.079454042,651502.8766,6133306.497,4
23,11.38786444,55.32308528,55,1,0,4.025351691,0.693147181,0,4.007335003,1.00E-04,-9.210340372,651502.8987,6133341.861,1
24,11.38786028,55.32299667,52,2,2,3.970291914,1.098612289,1.098612289,3.951245642,0.693197179,0.693197179,651502.9725,6133331.994,8
25,11.3878575,55.32293111,40,0,0,3.713572067,0,0,3.688881954,-9.210340372,-9.210340372,651503.0464,6133324.695,1
26,11.38785639,55.32281944,22,7,1,3.135494216,2.079441542,0.693147181,3.091046999,1.945924435,1.00E-04,651503.4019,6133312.27,3
27,11.38785861,55.32284111,43,3,3,3.784189634,1.386294361,1.386294361,3.761202441,1.098645621,1.098645621,651503.4602,6133314.685,2
28,11.38786472,55.32290944,55,4,74,4.025351691,1.609437912,4.317488114,4.007335003,1.386319361,4.304066445,651503.5872,6133322.3,3
29,11.38786389,55.32288639,61,1,3,4.127134385,0.693147181,1.386294361,4.110875504,1.00E-04,1.098645621,651503.6223,6133319.734,2
30,11.38786917,55.32295306,34,2,1,3.555348061,1.098612289,0.693147181,3.526363466,0.693197179,1.00E-04,651503.7027,6133327.162,9
31,11.38787111,55.32286472,129,1,53,4.86753445,0.693147181,3.988984047,4.85981318,1.00E-04,3.9702938,651504.1631,6133317.339,3
32,11.3878675,55.32278806,31,2,0,3.465735903,1.098612289,0,3.43399043,0.693197179,-9.210340372,651504.2265,6133308.802,10
33,11.38788722,55.32306444,35,0,13,3.583518938,0,2.63905733,3.555350919,-9.210340372,2.56495705,651504.4231,6133339.593,3
34,11.38789167,55.32302056,36,4,31,3.610917913,1.609437912,3.465735903,3.583521716,1.386319361,3.43399043,651504.8725,6133334.72,9
35,11.38788917,55.32297583,30,2,0,3.433987204,1.098612289,0,3.401200715,0.693197179,-9.210340372,651504.8845,6133329.739,5
36,11.38789361,55.32303917,26,2,1,3.295836866,1.098612289,0.693147181,3.258100384,0.693197179,1.00E-04,651504.9248,6133336.795,4
37,11.38788056,55.3227675,95,0,5,4.564348191,0,1.791759469,4.553877944,-9.210340372,1.609457912,651505.1331,6133306.543,4
38,11.38789917,55.32308528,36,3,0,3.610917913,1.386294361,0,3.583521716,1.098645621,-9.210340372,651505.1013,6133341.937,6
39,11.387895,55.32299694,36,5,6,3.610917913,1.791759469,1.945910149,3.583521716,1.609457912,1.791776136,651505.174,6133332.101,7
40,11.38789167,55.32293111,67,2,2,4.219507705,1.098612289,1.098612289,4.204694112,0.693197179,0.693197179,651505.2137,6133324.769,10
41,11.38789028,55.32281972,6,2,3,1.945910149,1.098612289,1.386294361,1.791776136,0.693197179,1.098645621,651505.5506,6133312.374,9
42,11.3878925,55.32284111,37,1,3,3.63758616,0.693147181,1.386294361,3.610920615,1.00E-04,1.098645621,651505.6099,6133314.759,2
43,11.38789639,55.32288667,41,0,2,3.737669618,0,1.098612289,3.713574506,-9.210340372,0.693197179,651505.6828,6133319.835,6
44,11.38789972,55.32290944,45,3,52,3.828641396,1.386294361,3.970291914,3.806664712,1.098645621,3.951245642,651505.8074,6133322.376,3
45,11.38790361,55.32295306,22,7,0,3.135494216,2.079441542,0,3.091046999,1.945924435,-9.210340372,651505.8877,6133327.237,1
46,11.38790583,55.322865,96,3,18,4.574710979,1.386294361,2.944438979,4.564349233,1.098645621,2.890377313,651506.3646,6133317.445,10
