ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38780694,55.32308417,144,1,3,4.976733742,0.693147181,1.386294361,4.969813994,1.00E-04,1.098645621,651499.2555,6133341.613,9
2,11.38781194,55.32304083,64,1,6,4.17438727,0.693147181,1.945910149,4.158884646,1.00E-04,1.791776136,651499.738,6133336.803,4
3,11.38781194,55.32299417,110,0,8,4.709530201,0,2.197224577,4.700481275,-9.210340372,2.079454042,651499.916,6133331.611,5
4,11.38782667,55.32310694,133,0,14,4.8978398,0,2.708050201,4.89034988,-9.210340372,2.639064472,651500.4196,6133344.19,6
5,11.38782417,55.32306194,98,2,42,4.59511985,1.098612289,3.761200116,4.584968499,0.693197179,3.737671999,651500.4327,6133339.178,8
6,11.38782417,55.32301667,82,2,7,4.418840608,1.098612289,2.079441542,4.406720467,0.693197179,1.945924435,651500.6055,6133334.141,9
7,11.38781944,55.32290139,162,3,79,5.093750201,1.386294361,4.382026635,5.087596953,1.098645621,4.369449118,651500.7457,6133321.306,9
8,11.38782167,55.32292583,74,6,11,4.317488114,1.945910149,2.48490665,4.304066445,1.791776136,2.397904364,651500.7934,6133324.03,4
9,11.38782361,55.32294694,47,4,0,3.871201011,1.609437912,0,3.850149729,1.386319361,-9.210340372,651500.8362,6133326.383,4
10,11.38782528,55.32297111,53,3,3,3.988984047,1.386294361,1.386294361,3.9702938,1.098645621,1.098645621,651500.8498,6133329.075,3
11,11.38782,55.32287833,180,2,29,5.198497031,1.098612289,3.401197382,5.192957406,0.693197179,3.367299278,651500.8689,6133318.742,10
12,11.38781667,55.32280917,31,11,7,3.465735903,2.48490665,2.079441542,3.43399043,2.397904364,1.945924435,651500.9214,6133311.04,1
13,11.38782194,55.32283278,108,2,6,4.691347882,1.098612289,1.945910149,4.682132153,0.693197179,1.791776136,651501.1661,6133313.678,6
14,11.38782222,55.32278889,84,2,3,4.442651256,1.098612289,1.386294361,4.430817989,0.693197179,1.098645621,651501.3511,6133308.796,7
15,11.38784167,55.32308417,61,1,1,4.127134385,0.693147181,0.693147181,4.110875504,1.00E-04,1.00E-04,651501.4581,6133341.688,4
16,11.38783278,55.32276639,75,0,8,4.33073334,0,2.197224577,4.317489447,-9.210340372,2.079454042,651502.1066,6133306.316,7
17,11.38784667,55.32299444,48,0,4,3.891820298,0,1.609437912,3.871203094,-9.210340372,1.386319361,651502.1175,6133331.717,8
18,11.38784083,55.32285444,213,3,130,5.365976015,1.386294361,4.875197323,5.361292635,1.098645621,4.86753522,651502.2816,6133316.13,6
19,11.38785694,55.32306194,43,2,13,3.784189634,1.098612289,2.63905733,3.761202441,0.693197179,2.56495705,651502.512,6133339.249,7
20,11.38785972,55.32310694,81,2,0,4.406719247,1.098612289,0,4.394450389,0.693197179,-9.210340372,651502.5165,6133344.261,10
21,11.38785694,55.32301694,80,3,8,4.394449155,1.386294361,2.197224577,4.382027885,1.098645621,2.079454042,651502.6837,6133334.243,4
22,11.38785472,55.32292583,76,1,6,4.343805422,0.693147181,1.945910149,4.330734656,1.00E-04,1.791776136,651502.8903,6133324.102,1
23,11.38785222,55.32287861,101,3,12,4.624972813,1.386294361,2.564949357,4.615121507,1.098645621,2.484914983,651502.9119,6133318.843,8
24,11.38785889,55.32297111,49,2,3,3.912023005,1.098612289,1.386294361,3.891822339,0.693197179,1.098645621,651502.9819,6133329.148,1
25,11.387855,55.32290139,106,2,46,4.672828834,1.098612289,3.850147602,4.663440038,0.693197179,3.82864357,651503.0012,6133321.383,3
26,11.38786444,55.32304111,54,0,7,4.007333185,0,2.079441542,3.988985898,-9.210340372,1.945924435,651503.0672,6133336.948,3
27,11.38785917,55.32294722,51,5,1,3.951243719,1.791759469,0.693147181,3.931827594,1.609457912,1.00E-04,651503.0906,6133326.491,2
28,11.38785139,55.32280944,36,8,2,3.610917913,2.197224577,1.098612289,3.583521716,2.079454042,0.693197179,651503.1229,6133311.146,9
29,11.38785444,55.32283306,79,3,4,4.382026635,1.386294361,1.609437912,4.369449118,1.098645621,1.386319361,651503.2266,6133313.78,3
30,11.38785778,55.32278917,43,2,0,3.784189634,1.098612289,0,3.761202441,0.693197179,-9.210340372,651503.6055,6133308.904,3
31,11.38787667,55.32308444,72,0,2,4.290459441,0,1.098612289,4.276667508,-9.210340372,0.693197179,651503.6772,6133341.795,9
32,11.38786667,55.32276667,111,2,9,4.718498871,1.098612289,2.302585093,4.709531102,0.693197179,2.197235688,651504.2552,6133306.42,5
33,11.38788167,55.32299444,47,1,3,3.871201011,0.693147181,1.386294361,3.850149729,1.00E-04,1.098645621,651504.3377,6133331.793,5
34,11.38787472,55.32285444,106,4,57,4.672828834,1.609437912,4.060443011,4.663440038,1.386319361,4.043053022,651504.4313,6133316.203,4
35,11.38789306,55.32310694,49,0,1,3.912023005,0,0.693147181,3.891822339,-9.210340372,1.00E-04,651504.631,6133344.334,6
36,11.38789167,55.32306194,43,0,15,3.784189634,0,2.772588722,3.761202441,-9.210340372,2.708056868,651504.7145,6133339.325,7
37,11.38788833,55.32292583,106,2,6,4.672828834,1.098612289,1.945910149,4.663440038,0.693197179,1.791776136,651505.0224,6133324.175,10
38,11.38788556,55.32287889,54,0,5,4.007333185,0,1.791759469,3.988985898,-9.210340372,1.609457912,651505.0253,6133318.946,9
39,11.38789306,55.32297111,68,0,1,4.234106505,0,0.693147181,4.219509176,-9.210340372,1.00E-04,651505.1492,6133329.222,2
40,11.38788944,55.32290167,94,1,19,4.553876892,0.693147181,2.995732274,4.543295846,1.00E-04,2.944444242,651505.1851,6133321.489,6
41,11.38789944,55.32304111,52,0,10,3.970291914,0,2.397895273,3.951245642,-9.210340372,2.302595093,651505.2874,6133337.024,3
