ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
87,11.38810306,55.3228775,11,1,0,2.48490665,0.693147181,0,2.397904364,1.00E-04,-9.210340372,651518.8276,6133319.265,5
88,11.38810111,55.32281306,37,7,5,3.63758616,2.079441542,1.791759469,3.610920615,1.945924435,1.609457912,651518.9501,6133312.091,6
89,11.38812,55.323085,45,1,1,3.828641396,0.693147181,0.693147181,3.806664712,1.00E-04,1.00E-04,651519.1107,6133342.386,1
90,11.38810306,55.32277639,23,4,0,3.17805383,1.609437912,0,3.135498564,1.386319361,-9.210340372,651519.2134,6133308.016,4
91,11.38812639,55.32310389,7,2,0,2.079441542,1.098612289,0,1.945924435,0.693197179,-9.210340372,651519.4439,6133344.502,8
92,11.38812361,55.32305417,27,0,7,3.33220451,0,2.079441542,3.29584057,-9.210340372,1.945924435,651519.4574,6133338.964,6
93,11.38812056,55.32294278,36,0,0,3.610917913,0,0,3.583521716,-9.210340372,-9.210340372,651519.6886,6133326.565,8
94,11.38811944,55.32285861,15,0,3,2.772588722,0,1.386294361,2.708056868,-9.210340372,1.098645621,651519.9393,6133317.199,5
95,11.38812639,55.32296278,14,1,1,2.708050201,0.693147181,0.693147181,2.639064472,1.00E-04,1.00E-04,651519.9823,6133328.803,4
96,11.38812944,55.32292028,56,0,3,4.043051268,0,1.386294361,4.025353476,-9.210340372,1.098645621,651520.3383,6133324.081,7
97,11.38813611,55.32298583,16,0,0,2.833213344,0,0,2.772594972,-9.210340372,-9.210340372,651520.5111,6133331.389,4
98,11.3881275,55.3227925,38,0,1,3.663561646,0,0.693147181,3.637588791,-9.210340372,1.00E-04,651520.7025,6133309.862,2
99,11.38813167,55.32283389,23,0,5,3.17805383,0,1.791759469,3.135498564,-9.210340372,1.609457912,651520.8089,6133314.475,4
100,11.38813806,55.32290111,45,1,6,3.828641396,0.693147181,1.945910149,3.806664712,1.00E-04,1.791776136,651520.9577,6133321.968,7
101,11.38813806,55.3228775,13,0,0,2.63905733,0,0,2.56495705,-9.210340372,-9.210340372,651521.0478,6133319.341,10
102,11.38813639,55.32281333,29,6,1,3.401197382,1.945910149,0.693147181,3.367299278,1.791776136,1.00E-04,651521.1869,6133312.199,6
103,11.38815472,55.32308556,33,3,2,3.526360525,1.386294361,1.098612289,3.496510592,1.098645621,0.693197179,651521.3112,6133342.524,4
