ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38781111,55.32307778,50,4,0,3.931825633,1.609437912,0,3.912025005,1.386319361,-9.210340372,651499.5442,6133340.911,5
2,11.38780861,55.32298972,139,3,9,4.941642423,1.386294361,2.302585093,4.934474653,1.098645621,2.197235688,651499.7215,6133331.109,3
3,11.38781639,55.32305472,242,15,2,5.493061443,2.772588722,1.098612289,5.488938139,2.708056868,0.693197179,651499.9669,6133338.357,9
4,11.38781722,55.32303333,61,4,2,4.127134385,1.609437912,1.098612289,4.110875504,1.386319361,0.693197179,651500.1014,6133335.98,6
5,11.38781056,55.32292194,61,3,0,4.127134385,1.386294361,0,4.110875504,1.098645621,-9.210340372,651500.1034,6133323.573,5
6,11.3878125,55.32294194,40,5,0,3.713572067,1.791759469,0,3.688881954,1.609457912,-9.210340372,651500.1505,6133325.802,8
7,11.38782278,55.32309667,199,0,14,5.298317367,0,2.708050201,5.293305327,-9.210340372,2.639064472,651500.2122,6133343.038,9
8,11.38781944,55.32301278,81,9,28,4.406719247,2.302585093,3.36729583,4.394450389,2.197235688,3.332208082,651500.3208,6133333.698,9
9,11.38781389,55.32285611,531,10,18,6.276643489,2.397895273,2.944438979,6.27476221,2.302595093,2.890377313,651500.566,6133316.256,4
10,11.38782861,55.32307833,77,6,0,4.356708827,1.945910149,0,4.343806721,1.791776136,-9.210340372,651500.6521,6133341.011,4
11,11.38781667,55.32287528,182,3,26,5.209486153,1.386294361,3.295836866,5.204007237,1.098645621,3.258100384,651500.6691,6133318.395,4
12,11.38781861,55.32289889,143,27,22,4.9698133,3.33220451,3.135494216,4.96284533,3.29584057,3.091046999,651500.7024,6133321.026,5
13,11.38782611,55.32298944,87,1,7,4.477336814,0.693147181,2.079441542,4.465909268,1.00E-04,1.945924435,651500.8327,6133331.116,2
14,11.38781667,55.32282944,146,20,5,4.990432587,3.044522438,1.791759469,4.983607307,2.995737274,1.609457912,651500.844,6133313.296,3
15,11.38781694,55.32280917,32,10,0,3.496507561,2.397895273,0,3.465739028,2.302595093,-9.210340372,651500.939,6133311.04,1
16,11.38783556,55.32305528,130,1,0,4.875197323,0.693147181,0,4.86753522,1.00E-04,-9.210340372,651501.1806,6133338.461,8
17,11.38782944,55.32294194,21,13,0,3.091042453,2.63905733,0,3.0445272,2.56495705,-9.210340372,651501.2253,6133325.839,9
18,11.387835,55.32303333,51,4,2,3.951243719,1.609437912,1.098612289,3.931827594,1.386319361,0.693197179,651501.2291,6133336.018,5
19,11.38782944,55.32292222,27,2,0,3.33220451,1.098612289,0,3.29584057,0.693197179,-9.210340372,651501.3006,6133323.645,6
20,11.38784139,55.32309667,142,3,8,4.96284463,1.386294361,2.197224577,4.955827762,1.098645621,2.079454042,651501.3928,6133343.078,9
21,11.38783833,55.32301278,74,3,25,4.317488114,1.386294361,3.258096538,4.304066445,1.098645621,3.218879825,651501.519,6133333.739,6
22,11.38782417,55.32278889,42,1,0,3.761200116,0.693147181,0,3.737671999,1.00E-04,-9.210340372,651501.4745,6133308.8,4
