ROI_ID,nir_contrast,nir_entropy,nir_homogeneity,nir_mean,nir_std,red_contrast,red_edge_contrast,red_entropy,red_edge_entropy,red_homogeneity,red_edge_homogeneity,red_mean,red_edge_mean,red_std,red_edge_std,green_contrast,green_entropy,green_homogeneity,green_mean,green_std,NDVI_contrast,NDVI_entropy,NDVI_homogeneity,NDVI_mean,NDVI_std,NDRE_contrast,NDRE_entropy,NDRE_homogeneity,NDRE_mean,NDRE_std,CIgreen_contrast,CIgreen_entropy,CIgreen_homogeneity,CIgreen_mean,CIgreen_std,CIrededge_contrast,CIrededge_entropy,CIrededge_homogeneity,CIrededge_mean,CIrededge_std
ROI_1,1.941729323308273,7.363429367806174,0.0894391849452278,0.041217066,0.0033196958,2.7286967418546415,2.5350877192982484,7.873510069190964,7.574214521221154,0.07816709736636632,0.08295916666805563,0.017077236,0.03227307,0.0045288275,0.0030924745,2.6885964912280764,7.796264179080199,0.08055773521278965,0.015973661,0.0030828593,3.1704260651629115,7.921629502994812,0.07725348644430396,0.4209588,0.11083064,3.02694235588973,7.777633268724227,0.0865114685058929,0.1222488,0.036508992,3.192982456140364,7.7279251709232,0.0760046697038976,1.671075,0.53236175,3.0563909774436158,7.843720221329471,0.0834365422530592,0.28251618,0.09547738
ROI_10,2.3057644110275723,7.511479798440828,0.0914271220124603,0.028309032,0.0024545963,4.646616541353393,2.5375939849624083,8.127111800967683,7.381178701039949,0.06175318498384871,0.07705451136398547,0.018588306,0.024887146,0.0017378051,0.0020397033,5.202380952380968,7.994766545386133,0.06309019617509648,0.015466366,0.0009918688,2.828320802005017,7.728503658825907,0.08759344118401158,0.20697312,0.054256614,2.607769423558902,7.617269971606155,0.0810665256760187,0.06406991,0.028398218,2.5626566416040117,7.528318001996022,0.08433588994363414,0.83204484,0.13040777,2.609649122807023,7.647800667524302,0.08123088294458099,0.13886212,0.06433508
ROI_100,2.263157894736845,7.593196951819314,0.08521669747719278,0.04050405,0.0045335847,3.1510025062656672,2.18170426065163,7.880384714996838,7.38931073567892,0.08329434734970531,0.09558153106497239,0.013042679,0.030093415,0.003990222,0.003531054,3.2857142857142962,7.953001678494319,0.07907146255000362,0.01349039,0.0027639067,3.0927318295739417,7.9765997237431305,0.07773190915847829,0.51833415,0.114515014,3.076441102756899,7.694016318022859,0.08830915335364023,0.14766218,0.03291958,2.723684210526321,7.677545791661008,0.08764122895788536,2.114989,0.65879995,3.152255639097749,7.741934459940474,0.0925134559873691,0.349982,0.09059756
ROI_101,2.880325814536344,7.792653130503373,0.08363431512813027,0.03700046,0.004742061,2.1015037593984993,2.820802005012538,7.670350063465241,7.876322498860058,0.08670020559471618,0.06878236498047985,0.013325827,0.02835088,0.0034228773,0.0033514572,2.058897243107771,7.541031450563182,0.08682183629552069,0.013467423,0.0023909549,2.8302005012531364,7.852140191867534,0.08520416251703072,0.4723031,0.109805964,3.464285714285719,7.621192653456064,0.08301389490811124,0.1317017,0.0344638,2.689223057644118,7.543686139894845,0.09102518840165452,1.8225597,0.5720982,3.4448621553884795,7.692063110806071,0.08324288759852522,0.30703834,0.09291736
ROI_102,2.0006265664160434,7.553359690597603,0.09142703017743166,0.025968915,0.0016544431,3.139724310776949,2.736842105263162,7.641756057585957,7.643427550954929,0.07931176862188663,0.08735946770530868,0.01727187,0.023398332,0.0011880817,0.0014884257,3.630952380952387,7.888159247328742,0.07657654177403429,0.014632127,0.00097627315,2.391604010025065,7.370810992525838,0.08815584061843652,0.20115437,0.025794309,2.947994987468677,7.802130605838298,0.08555141255346436,0.05203651,0.022681996,3.59335839598998,7.846047098406135,0.07295579625484026,0.7773027,0.0873849,2.92042606516291,7.7583582072090564,0.08260744133817488,0.110998526,0.050705187
ROI_103,2.6929824561403555,7.2817493621803155,0.08178973271138854,0.024178408,0.0012196123,1.8916040100250642,1.7487468671679218,6.520827396099081,6.852669727592531,0.09982771776823537,0.09944840734727863,0.01535128,0.021673642,0.001127813,0.0014949559,1.569548872180453,6.338075368912831,0.10461079828370709,0.013291318,0.0008901003,3.2525062656641666,7.243228764038007,0.08306836791690844,0.22379127,0.027319975,2.082080200501255,7.337466347635194,0.09021788603128814,0.055176392,0.019368492,3.8095238095238138,7.493488299181699,0.06722276566121496,0.8225074,0.07775375,1.9598997493734363,7.321419532231042,0.09118617753231381,0.11769152,0.04364635
ROI_104,2.6109022556390995,7.438373123347581,0.08179977013023877,0.025853705,0.0014402507,2.8991228070175463,3.5213032581453674,7.307750543622358,7.521551455853311,0.08741722945175967,0.07704804179632181,0.015961565,0.02225457,0.0012303091,0.0011643964,3.53822055137845,7.35434535999525,0.0733304763216246,0.013377181,0.00070047367,3.466791979949879,7.666848159809527,0.07762875244469289,0.23704296,0.030284284,2.8464912280701813,7.660627977448546,0.08688172936730443,0.07468156,0.026020164,2.7587719298245656,7.503485095242963,0.0743268455346348,0.93494284,0.099931516,2.869047619047623,7.69191529079383,0.08378709553871322,0.16309819,0.05978189
ROI_105,2.3959899749373443,7.233554284057854,0.08902011386577702,0.025493378,0.0015368283,3.223057644110284,2.7318295739348404,7.501277543588115,7.4135138665607325,0.08453246399268419,0.08768990404566891,0.016138745,0.022103615,0.0012545007,0.0016283138,3.17982456140351,7.5175657340454265,0.08159331548663921,0.013993807,0.0009646721,2.2230576441102796,7.038438560521078,0.1012935554454104,0.22512907,0.026831327,1.8383458646616566,7.461944714403059,0.09434333812948957,0.071645744,0.023402443,3.174185463659155,7.241507607498068,0.08579685459050423,0.8256804,0.1033399,1.8596491228070238,7.441352606889985,0.09252381745547976,0.1557284,0.054711327
ROI_106,1.6710526315789513,7.322846001230699,0.10369392353270658,0.039968595,0.0035525842,2.803884711779456,1.9454887218045132,8.036133572501843,7.54904718507792,0.07704724223767384,0.08940338222485415,0.015358656,0.0301794,0.004595893,0.00328675,2.856516290726827,8.000393201156209,0.07757598123865253,0.014558477,0.0032906851,3.038847117794493,8.074585094167869,0.07512703417195497,0.45357972,0.118077196,2.946741854636598,7.954641492856042,0.07759616756697783,0.14042246,0.035662763,3.1629072681704358,7.841350362688134,0.07615259261395887,1.8743356,0.6336851,2.9116541353383503,7.897384444273646,0.07929031590931643,0.33076096,0.09739744
ROI_107,1.3759398496240622,7.324643182385721,0.10689124364046994,0.041966792,0.0041632126,2.580200501253135,1.3615288220551403,7.8748123100989496,7.198890445034292,0.0831988249500811,0.10101759994948879,0.0127380155,0.03133081,0.004097814,0.0032092617,2.2174185463659217,7.75448495991702,0.08126796730773149,0.013413761,0.0028501567,2.758771929824566,7.94900420312071,0.08213243389264602,0.53947747,0.12272554,1.8295739348370954,7.540726533362255,0.08784966880942131,0.1450209,0.03474071,2.672305764411036,7.893934933117098,0.07897425509568681,2.2723625,0.769325,1.9085213032581492,7.571655656970286,0.09191324266156273,0.343079,0.09462922
