ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38781889,55.32308528,47,7,1,3.871201011,2.079441542,0.693147181,3.850149729,1.945924435,1.00E-04,651500.0089,6133341.762,5
2,11.38781778,55.32299556,25,1,0,3.258096538,0.693147181,0,3.218879825,1.00E-04,-9.210340372,651500.2807,6133331.778,3
3,11.38781528,55.32295028,19,7,0,2.995732274,2.079441542,0,2.944444242,1.945924435,-9.210340372,651500.2949,6133326.735,9
4,11.38782333,55.32306333,9,0,0,2.302585093,0,0,2.197235688,-9.210340372,-9.210340372,651500.3746,6133339.331,6
5,11.38782167,55.32301806,10,1,0,2.397895273,0.693147181,0,2.302595093,1.00E-04,-9.210340372,651500.4416,6133334.29,5
6,11.38782111,55.32297306,5,0,0,1.791759469,0,0,1.609457912,-9.210340372,-9.210340372,651500.578,6133329.282,8
7,11.38781528,55.32286056,52,1,0,3.970291914,0.693147181,0,3.951245642,1.00E-04,-9.210340372,651500.6372,6133316.754,9
8,11.38781667,55.32288194,72,0,4,4.290459441,0,1.609437912,4.276667508,-9.210340372,1.386319361,651500.6437,6133319.136,9
9,11.38781889,55.32290528,33,0,0,3.526360525,0,0,3.496510592,-9.210340372,-9.210340372,651500.6956,6133321.737,4
10,11.387815,55.32283694,12,1,0,2.564949357,0.693147181,0,2.484914983,1.00E-04,-9.210340372,651500.7097,6133314.126,4
11,11.38782194,55.32292778,17,4,0,2.890371758,1.609437912,0,2.833219226,1.386319361,-9.210340372,651500.8036,6133324.247,4
12,11.387815,55.32279,43,5,0,3.784189634,1.791759469,0,3.761202441,1.609457912,-9.210340372,651500.8887,6133308.904,5
13,11.38781583,55.32276833,38,0,0,3.663561646,0,0,3.637588791,-9.210340372,-9.210340372,651501.0243,6133306.495,2
14,11.38781861,55.32281417,13,6,0,2.63905733,1.945910149,0,2.56495705,1.791776136,-9.210340372,651501.0256,6133311.6,3
15,11.38783611,55.32308528,14,1,0,2.708050201,0.693147181,0,2.639064472,1.00E-04,-9.210340372,651501.1014,6133341.8,1
16,11.3878325,55.32295028,25,2,0,3.258096538,1.098612289,0,3.218879825,0.693197179,-9.210340372,651501.3874,6133326.773,8
17,11.38783528,55.32299556,20,0,2,3.044522438,0,1.098612289,2.995737274,-9.210340372,0.693197179,651501.3908,6133331.816,9
18,11.38783944,55.32306361,4,1,0,1.609437912,0.693147181,0,1.386319361,1.00E-04,-9.210340372,651501.3955,6133339.396,5
19,11.38784139,55.32301806,9,1,0,2.302585093,0.693147181,0,2.197235688,1.00E-04,-9.210340372,651501.6927,6133334.333,6
20,11.38783278,55.32286056,29,2,0,3.401197382,1.098612289,0,3.367299278,0.693197179,-9.210340372,651501.7473,6133316.792,9
21,11.38784028,55.32297306,4,0,0,1.609437912,0,0,1.386319361,-9.210340372,-9.210340372,651501.7939,6133329.324,6
22,11.38783667,55.32290528,19,1,0,2.995732274,0.693147181,0,2.944444242,1.00E-04,-9.210340372,651501.8234,6133321.776,1
23,11.38783611,55.32288222,98,1,7,4.59511985,0.693147181,2.079441542,4.584968499,1.00E-04,1.945924435,651501.8761,6133319.21,1
24,11.38783083,55.32279028,39,1,0,3.688879454,0.693147181,0,3.66356421,1.00E-04,-9.210340372,651501.8921,6133308.969,10
25,11.38783417,55.32283694,8,1,0,2.197224577,0.693147181,0,2.079454042,1.00E-04,-9.210340372,651501.9255,6133314.168,3
