ROI_ID,nir_contrast,nir_entropy,nir_homogeneity,nir_mean,nir_std,red_contrast,red_edge_contrast,red_entropy,red_edge_entropy,red_homogeneity,red_edge_homogeneity,red_mean,red_edge_mean,red_std,red_edge_std,green_contrast,green_entropy,green_homogeneity,green_mean,green_std,NDVI_contrast,NDVI_entropy,NDVI_homogeneity,NDVI_mean,NDVI_std,NDRE_contrast,NDRE_entropy,NDRE_homogeneity,NDRE_mean,NDRE_std,CIgreen_contrast,CIgreen_entropy,CIgreen_homogeneity,CIgreen_mean,CIgreen_std,CIrededge_contrast,CIrededge_entropy,CIrededge_homogeneity,CIrededge_mean,CIrededge_std
ROI_1,2.5488721804511347,7.707762333618039,0.0838811183151404,0.21088982,0.03498041,2.7142857142857193,2.4642857142857197,7.752717604644762,7.561390975711278,0.07841420814927405,0.08133009240603932,0.047689706,0.1805575,0.008004567,0.03240299,2.5388471177944885,7.317518103060634,0.0779591603780809,0.064308494,0.0095053,3.0194235588972433,7.928109048466851,0.0673414685605726,0.6264649,0.067532316,3.9147869674185523,7.680846698214335,0.06682970536179365,0.07883785,0.015645478,3.70175438596492,7.94901108022299,0.06572906780690588,2.2825866,0.26525375,3.8991228070175525,7.6418758705993035,0.067502105324329,0.17180246,0.037224747
ROI_10,2.8847117794486272,6.656490561644246,0.08917649371712673,0.14636779,0.020607283,3.943609022556401,2.976817042606521,7.708189863431783,6.682319756993304,0.07148276304411585,0.08950235991998892,0.06815861,0.1319176,0.0061922832,0.022453086,5.20551378446116,7.581894257561339,0.06224659123446487,0.066494085,0.0076316507,3.6140350877193073,7.462831282980906,0.07832434538321209,0.36126915,0.054402065,5.100250626566433,7.6692668868287805,0.06312464018209421,0.053750537,0.015948763,1.7800751879699273,6.5403418841612675,0.10721146300174071,1.201389,0.15518707,5.0382205513784575,7.692217368987455,0.06291798083853292,0.114203066,0.03534495
ROI_100,1.3345864661654163,7.509223264332833,0.10541919798885767,0.2644469,0.05810473,1.063283208020051,1.280075187969928,7.319338991738342,7.407959859577582,0.11684413269816901,0.10660324990046383,0.031889267,0.18152754,0.0077964114,0.047471106,1.4404761904761967,7.596366532049066,0.10226663944227078,0.050187368,0.01319124,1.5839598997493751,7.423686556645727,0.10505130190071744,0.78265786,0.03992248,1.4974937343358423,7.6028382423086525,0.10544089219011853,0.19117326,0.031445082,2.235588972431084,7.630514454490056,0.09614837053094591,4.362124,0.6277379,1.473057644110278,7.543244733526414,0.10574370835980768,0.4764937,0.09721828
ROI_101,2.412907268170429,7.8062486965999955,0.09103544392832999,0.28753912,0.061661117,0.7800751879699258,2.1898496240601544,6.775544604912369,7.710637707644384,0.12578488075392127,0.08817197465663704,0.030190522,0.18707393,0.0074219955,0.048012804,1.820175438596494,7.619997687452328,0.08943082855540213,0.05070448,0.013149366,1.3884711779448649,6.846756438479656,0.11924230381782353,0.80892426,0.027106423,1.6629072681704289,7.324790537290149,0.10263154561423499,0.21692921,0.02906744,1.7117794486215578,7.301335512133375,0.09782151667478003,4.763557,0.5876683,1.661027568922309,7.274945062191731,0.10187482530280455,0.5576041,0.095941395
ROI_102,1.8734335839599048,7.69837943314954,0.09603069826886224,0.3000589,0.07072452,0.8659147869674194,2.0369674185463724,7.209405804256642,7.74664082725809,0.1172964820023648,0.0958915210557807,0.029053975,0.18750367,0.009582882,0.051513545,1.6986215538847158,7.598258480673158,0.09675737777473588,0.048540592,0.0135668395,1.0927318295739368,6.696572216182629,0.12936593330685262,0.82172346,0.05172283,1.0526315789473693,7.161896853607722,0.11792168755017074,0.23614334,0.038175743,2.3176691729323347,7.779127935427801,0.08610165102729388,5.3541136,1.0149219,1.1353383458646638,7.135723567842349,0.1164431808698127,0.6248408,0.13130619
ROI_103,2.815162907268178,6.59093579139961,0.11216361736717113,0.12437187,0.016300207,2.201127819548878,2.9755639097744466,7.30586564142763,6.624207094461152,0.08638141467582476,0.11229034056145923,0.062629394,0.113250285,0.0060594664,0.018543318,3.6265664160401134,7.120517968720579,0.09180911468505114,0.058301818,0.007472224,2.1835839598997544,6.798543915152381,0.11073310431088043,0.3272409,0.061684635,4.416040100250629,7.522427438904824,0.08242571010424608,0.04873143,0.015998352,3.365288220551385,7.319758842587172,0.08170925620636962,1.1360292,0.11031647,4.303258145363414,7.552499972209199,0.08340954696773242,0.10304111,0.034820713
ROI_104,3.577067669172942,7.880437546375765,0.0779284181330727,0.21064568,0.033713557,0.4843358395989982,2.997493734335845,6.560888602972652,7.840546663088366,0.14179935131947546,0.07959225496559141,0.057400733,0.17608726,0.024254926,0.03212165,2.2575187969924815,7.712380818828313,0.08520683349262717,0.07142619,0.015425718,0.8897243107769434,7.042138256555031,0.12771415207947737,0.5757926,0.14686102,1.8771929824561435,7.4987793787848025,0.09906364177675465,0.09157212,0.028029334,1.5338345864661673,7.450157328691202,0.11373582275566378,2.0348969,0.5434998,1.8941102756892285,7.42824295577425,0.09950579244098401,0.20369929,0.06790281
ROI_105,4.685463659147877,8.034395714619857,0.06234646129209075,0.2681052,0.04138443,1.9072681704260714,4.603383458646633,7.450905542226295,8.109049630300776,0.0859959961288971,0.06468163215477701,0.044896632,0.22015505,0.007982561,0.037568413,4.734335839599015,7.900790559675968,0.05763397835764523,0.07629211,0.011567409,1.54260651629073,7.200265433961642,0.09979801837325698,0.70944,0.057491846,3.8571428571428625,7.833373107322793,0.06692795136128363,0.09958958,0.016839292,2.54260651629073,7.557391695636236,0.0765596162590804,2.5278993,0.33018076,3.85213032581455,7.786431686323717,0.07018806051827288,0.2219918,0.04185588
ROI_106,2.8928571428571472,7.846611752272352,0.07711492795924704,0.30139467,0.050716545,2.8139097744360906,3.2167919799498783,7.779694416484939,7.8152986503892805,0.07783038262299129,0.07825617936193213,0.044840727,0.24107403,0.007542336,0.043910008,4.434210526315799,7.898119155533231,0.06276000730711571,0.08616823,0.014533684,1.5275689223057645,7.223094791952419,0.10341797612752475,0.73772645,0.046266798,4.192355889724316,7.887917410312877,0.06784259537829386,0.112418324,0.01938686,2.621553884711786,7.437892605871308,0.08210587101452999,2.5161395,0.35119674,4.243107769423566,7.786863960103528,0.06751918195555358,0.2543987,0.049692582
ROI_107,3.2487468671679283,7.9599601881921815,0.07846374201305023,0.22830723,0.04337544,1.2387218045112816,3.3615288220551447,7.070720049853673,7.9471856401890735,0.10184864604307978,0.0778922976887304,0.03796289,0.1793146,0.008564934,0.038387474,3.1190476190476226,7.686163327550043,0.07899057923104398,0.060468484,0.011126661,1.3822055137844633,6.854156085722236,0.11044061319164258,0.7100357,0.067847334,1.880952380952385,7.1201291243854365,0.09462282486611442,0.12286355,0.023688355,2.4035087719298263,7.545973610870453,0.08303828012098921,2.7965276,0.41376168,1.8815789473684237,7.106797372246988,0.09664136336165964,0.28181913,0.06198418
ROI_108,4.411027568922327,7.130379971580542,0.09988982156289701,0.12488611,0.018753823,1.9003759398496285,4.39724310776944,6.647335119610694,7.106382343262532,0.10268404942268022,0.1002951414344038,0.06331925,0.11795889,0.006905607,0.021454906,5.383458646616556,7.4498735638359825,0.07889486828723138,0.058001116,0.008709444,2.1033834586466233,7.122887561062324,0.09303558890289579,0.32311997,0.07052177,3.605889724310783,7.620584159311141,0.0732909757178225,0.030737335,0.017191356,2.102130325814539,6.829129114097558,0.09378612534581748,1.1580797,0.13624032,3.66478696741855,7.678066199477212,0.07151824612677181,0.0640665,0.03622613
ROI_109,3.168546365914793,8.082597592867156,0.07310638279591805,0.23785256,0.042669818,2.714912280701759,3.3302005012531404,7.667551801682477,7.929060938949116,0.08335013081746494,0.07267071453377644,0.047395505,0.20496887,0.006020111,0.03853659,3.758771929824565,7.846102307371181,0.06787095075850826,0.07101868,0.0099167675,2.545112781954888,7.801848637407751,0.09087974634511459,0.6607341,0.06293751,4.83020050125314,8.021479583230475,0.06691009716280526,0.07520416,0.015060848,2.6033834586466167,7.881131749300796,0.07797920717628366,2.3399172,0.28880116,4.7857142857143,8.0158230448432,0.06508135137915187,0.16321358,0.03526115
ROI_11,3.627819548872183,7.938902855669143,0.06734951528180938,0.22148296,0.036697302,2.6334586466165497,4.0595238095238155,7.59303943262016,8.033613167411964,0.08181648774934035,0.06663535679224017,0.04537158,0.18755546,0.0065705176,0.033558186,5.401629072681718,8.06102882639976,0.06023658305146653,0.06518991,0.009464472,3.076441102756896,7.90051168296352,0.07011183999368595,0.6543927,0.063762195,6.432330827067684,7.960191768146793,0.05959165888348106,0.084138244,0.013851166,3.2769423558897293,7.799043084843825,0.06996702844979019,2.3974323,0.2628536,6.235588972431098,7.902353387232115,0.05933337191862335,0.18423912,0.033296164
