ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38780639,55.32305694,282,12,9,5.645446898,2.564949357,2.302585093,5.641907426,2.484914983,2.197235688,651499.3241,6133338.583,5
2,11.38780889,55.32298861,110,2,12,4.709530201,1.098612289,2.564949357,4.700481275,0.693197179,2.484914983,651499.7434,6133330.986,3
3,11.38781028,55.32301083,41,10,30,3.737669618,2.397895273,3.433987204,3.713574506,2.302595093,3.401200715,651499.7467,6133333.461,9
4,11.38780889,55.32296639,42,11,1,3.761200116,2.48490665,0.693147181,3.737671999,2.397904364,1.00E-04,651499.8282,6133328.514,6
5,11.38781306,55.323035,33,9,2,3.526360525,2.302585093,1.098612289,3.496510592,2.197235688,0.693197179,651499.8307,6133336.156,5
6,11.38781778,55.32310139,154,1,14,5.043425117,0.693147181,2.708050201,5.036953252,1.00E-04,2.639064472,651499.877,6133343.552,8
7,11.38781722,55.32308028,79,7,0,4.382026635,2.079441542,0,4.369449118,1.945924435,-9.210340372,651499.9223,6133341.202,9
8,11.38781111,55.32292111,91,3,0,4.521788577,1.386294361,0,4.510860605,1.098645621,-9.210340372,651500.1419,6133323.482,9
9,11.38781556,55.32294389,33,7,0,3.526360525,2.079441542,0,3.496510592,1.945924435,-9.210340372,651500.3369,6133326.025,4
10,11.38781444,55.32289861,121,20,23,4.804021045,3.044522438,3.17805383,4.795791372,2.995737274,3.135498564,651500.4391,6133320.986,4
11,11.38782583,55.32305694,188,5,1,5.241747015,1.791759469,0.693147181,5.236442495,1.609457912,1.00E-04,651500.5575,6133338.625,4
12,11.38781528,55.322875,218,3,37,5.38907173,1.386294361,3.63758616,5.384495522,1.098645621,3.610920615,651500.5821,6133318.361,5
13,11.38781389,55.32282944,71,18,4,4.276666119,2.944438979,1.609437912,4.262681285,2.890377313,1.386319361,651500.6678,6133313.29,2
14,11.38781694,55.32285306,677,10,18,6.519147288,2.397895273,2.944438979,6.517671421,2.302595093,2.890377313,651500.7715,6133315.923,3
15,11.38782667,55.32298889,99,1,5,4.605170186,0.693147181,1.791759469,4.59512086,1.00E-04,1.609457912,651500.87,6133331.056,1
16,11.38783361,55.32310139,137,2,4,4.927253685,1.098612289,1.609437912,4.919981656,0.693197179,1.386319361,651500.8814,6133343.587,8
17,11.387815,55.32276139,100,0,10,4.615120517,0,2.397895273,4.605171186,-9.210340372,2.302595093,651500.9979,6133305.721,9
18,11.38783083,55.32303528,37,5,1,3.63758616,1.791759469,0.693147181,3.610920615,1.609457912,1.00E-04,651500.9574,6133336.226,5
19,11.38782972,55.32301083,47,4,29,3.871201011,1.609437912,3.401197382,3.850149729,1.386319361,3.367299278,651500.9801,6133333.504,6
20,11.38781778,55.3228075,26,9,1,3.295836866,2.302585093,0.693147181,3.258100384,2.197235688,1.00E-04,651500.9982,6133310.857,9
21,11.38782778,55.32296639,39,3,0,3.688879454,1.386294361,0,3.66356421,1.098645621,-9.210340372,651501.0264,6133328.555,6
22,11.387835,55.32308028,36,5,0,3.610917913,1.791759469,0,3.583521716,1.609457912,-9.210340372,651501.05,6133341.241,6
23,11.38783,55.32292111,40,4,0,3.713572067,1.609437912,0,3.688881954,1.386319361,-9.210340372,651501.3401,6133323.523,1
24,11.38782361,55.32279083,34,1,0,3.555348061,0.693147181,0,3.526363466,1.00E-04,-9.210340372,651501.4318,6133309.015,10
25,11.38783333,55.32294389,33,2,0,3.526360525,1.098612289,0,3.496510592,0.693197179,-9.210340372,651501.4646,6133326.064,3
26,11.38783167,55.32289833,86,5,22,4.465908119,1.791759469,3.135494216,4.454348459,1.609457912,3.091046999,651501.5327,6133320.992,5
27,11.38784167,55.32305722,115,4,7,4.753590191,1.609437912,2.079441542,4.744932998,1.386319361,1.945924435,651501.5609,6133338.691,3
28,11.38783444,55.32287528,154,3,19,5.043425117,1.386294361,2.995732274,5.036953252,1.098645621,2.944444242,651501.7969,6133318.433,3
29,11.38783417,55.32285306,498,3,13,6.212606096,1.386294361,2.63905733,6.210600278,1.098645621,2.56495705,651501.864,6133315.961,4
30,11.38783306,55.32282944,61,3,3,4.127134385,1.386294361,1.386294361,4.110875504,1.098645621,1.098645621,651501.8836,6133313.331,10
31,11.38785056,55.32310139,117,3,2,4.770684624,1.386294361,1.098612289,4.762174789,1.098645621,0.693197179,651501.9562,6133343.623,1
32,11.38784417,55.32298889,54,1,3,4.007333185,0.693147181,1.386294361,3.988985898,1.00E-04,1.098645621,651501.9801,6133331.094,3
33,11.38784583,55.32301056,44,5,20,3.80666249,1.791759469,3.044522438,3.784191907,1.609457912,2.995737274,651502.0032,6133333.508,9
34,11.38783194,55.32276139,109,0,4,4.700480366,0,1.609437912,4.6913488,-9.210340372,1.386319361,651502.0728,6133305.758,5
35,11.38784417,55.32296639,30,4,0,3.433987204,1.609437912,0,3.401200715,1.386319361,-9.210340372,651502.066,6133328.591,4
36,11.38784833,55.323035,31,1,3,3.465735903,0.693147181,1.386294361,3.43399043,1.00E-04,1.098645621,651502.0685,6133336.233,6
37,11.38783528,55.32280778,13,3,0,2.63905733,1.386294361,0,2.56495705,1.098645621,-9.210340372,651502.1072,6133310.926,7
38,11.38785222,55.32308,49,2,0,3.912023005,1.098612289,0,3.891822339,0.693197179,-9.210340372,651502.1435,6133341.248,10
39,11.38784694,55.32292139,36,4,0,3.610917913,1.609437912,0,3.583521716,1.386319361,-9.210340372,651502.4139,6133323.59,1
