ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38781694,55.32309528,107,0,11,4.682131227,0,2.48490665,4.672829769,-9.210340372,2.397904364,651499.8474,6133342.87,9
2,11.38781667,55.32305139,171,1,30,5.147494477,0.693147181,3.433987204,5.141664141,1.00E-04,3.401200715,651499.9973,6133337.987,4
3,11.38782194,55.32302861,33,2,1,3.526360525,1.098612289,0.693147181,3.496510592,0.693197179,1.00E-04,651500.4189,6133335.465,5
4,11.38781944,55.322985,45,3,7,3.828641396,1.386294361,2.079441542,3.806664712,1.098645621,1.945924435,651500.4267,6133330.607,6
5,11.38781667,55.32289722,82,5,49,4.418840608,1.791759469,3.912023005,4.406720467,1.609457912,3.891822339,651500.5854,6133320.836,8
6,11.38782333,55.32300694,25,4,28,3.258096538,1.609437912,3.36729583,3.218879825,1.386319361,3.332208082,651500.5897,6133333.057,9
7,11.38782111,55.32296278,31,4,0,3.465735903,1.609437912,0,3.43399043,1.386319361,-9.210340372,651500.6172,6133328.139,9
8,11.38782194,55.32291861,39,2,1,3.688879454,1.098612289,0.693147181,3.66356421,0.693197179,1.00E-04,651500.8386,6133323.227,4
9,11.38782667,55.32294111,26,0,0,3.295836866,0,0,3.258100384,-9.210340372,-9.210340372,651501.0523,6133325.74,3
10,11.38782333,55.32287278,152,1,15,5.030437921,0.693147181,2.772588722,5.023881179,1.00E-04,2.708056868,651501.1016,6133318.131,3
11,11.3878225,55.32282861,39,1,1,3.688879454,0.693147181,0.693147181,3.66356421,1.00E-04,1.00E-04,651501.2172,6133313.216,10
12,11.38782167,55.32278694,34,0,0,3.555348061,0,0,3.526363466,-9.210340372,-9.210340372,651501.3233,6133308.578,1
13,11.38782694,55.32285278,443,1,56,6.095824562,0.693147181,4.043051268,6.093569996,1.00E-04,4.025353476,651501.4069,6133315.914,6
14,11.38784083,55.32307333,34,3,0,3.555348061,1.386294361,0,3.526363466,1.098645621,-9.210340372,651501.4465,6133340.481,7
15,11.387825,55.32280611,11,7,4,2.48490665,2.079441542,1.609437912,2.397904364,1.945924435,1.386319361,651501.4616,6133310.718,3
16,11.38784944,55.32309528,85,2,0,4.454347296,1.098612289,0,4.442652433,0.693197179,-9.210340372,651501.909,6133342.941,8
17,11.38784917,55.32305139,69,1,9,4.248495242,0.693147181,2.302585093,4.234107954,1.00E-04,2.197235688,651502.0589,6133338.058,7
18,11.38783806,55.32276389,81,2,3,4.406719247,1.098612289,1.386294361,4.394450389,0.693197179,1.098645621,651502.4509,6133306.049,8
19,11.38785417,55.32298528,46,0,2,3.850147602,0,1.098612289,3.82864357,-9.210340372,0.693197179,651502.6283,6133330.714,6
20,11.38785694,55.32302917,26,1,0,3.295836866,0.693147181,0,3.258100384,1.00E-04,-9.210340372,651502.637,6133335.603,7
21,11.38785694,55.32300694,25,5,31,3.258096538,1.791759469,3.465735903,3.218879825,1.609457912,3.43399043,651502.7218,6133333.13,9
22,11.38785444,55.32296278,24,2,0,3.218875825,1.098612289,0,3.178057997,0.693197179,-9.210340372,651502.7317,6133328.211,4
23,11.38785167,55.32289722,68,8,34,4.234106505,2.197224577,3.555348061,4.219509176,2.079454042,3.526363466,651502.8056,6133320.912,1
24,11.38785528,55.32291861,33,4,1,3.526360525,1.609437912,0.693147181,3.496510592,1.386319361,1.00E-04,651502.9531,6133323.3,8
25,11.38785528,55.32287306,73,2,1,4.304065093,1.098612289,0.693147181,4.290460811,0.693197179,1.00E-04,651503.1269,6133318.231,1
26,11.38785472,55.32282861,32,2,3,3.496507561,1.098612289,1.386294361,3.465739028,0.693197179,1.098645621,651503.2612,6133313.286,3
27,11.38786194,55.32294111,25,4,0,3.258096538,1.609437912,0,3.218879825,1.386319361,-9.210340372,651503.2901,6133325.817,2
28,11.38785722,55.32278694,22,1,0,3.135494216,0.693147181,0,3.091046999,1.00E-04,-9.210340372,651503.5788,6133308.656,3
29,11.38786139,55.32285278,175,0,26,5.170483995,0,3.295836866,5.164786545,-9.210340372,3.258100384,651503.5919,6133315.989,2
30,11.38785917,55.32280667,18,8,5,2.944438979,2.197224577,1.791759469,2.890377313,2.079454042,1.609457912,651503.6269,6133310.854,9
31,11.38787583,55.32307333,28,1,0,3.36729583,0.693147181,0,3.332208082,1.00E-04,-9.210340372,651503.6667,6133340.557,3
32,11.38788333,55.32309556,49,1,1,3.912023005,0.693147181,0.693147181,3.891822339,1.00E-04,1.00E-04,651504.0577,6133343.046,10
33,11.38788361,55.32305167,58,0,13,4.077537444,0,2.63905733,4.060444735,-9.210340372,2.56495705,651504.2428,6133338.164,3
34,11.38787167,55.32276389,92,0,9,4.532599493,0,2.302585093,4.521789664,-9.210340372,2.197235688,651504.583,6133306.122,9
35,11.38789167,55.32302917,15,5,2,2.772588722,1.791759469,1.098612289,2.708056868,1.609457912,0.693197179,651504.8396,6133335.678,5
36,11.38788917,55.32298528,39,3,8,3.688879454,1.386294361,2.197224577,3.66356421,1.098645621,2.079454042,651504.8485,6133330.79,1
37,11.38789111,55.32300694,25,2,22,3.258096538,1.098612289,3.135494216,3.218879825,0.693197179,3.091046999,651504.8891,6133333.205,4
38,11.38788944,55.3229625,28,1,0,3.36729583,0.693147181,0,3.332208082,1.00E-04,-9.210340372,651504.953,6133328.257,6
39,11.38788611,55.3228975,57,2,20,4.060443011,1.098612289,3.044522438,4.043053022,0.693197179,2.995737274,651504.9895,6133321.018,7
40,11.38789,55.32291889,24,8,0,3.218875825,2.197224577,0,3.178057997,2.079454042,-9.210340372,651505.1546,6133323.406,10
41,11.38788944,55.32287306,50,1,2,3.931825633,0.693147181,1.098612289,3.912025005,1.00E-04,0.693197179,651505.2942,6133318.306,9
42,11.38788861,55.32282861,28,1,2,3.36729583,0.693147181,1.098612289,3.332208082,1.00E-04,0.693197179,651505.4109,6133313.359,2
43,11.38789611,55.32294139,12,8,0,2.564949357,2.197224577,0,2.484914983,2.079454042,-9.210340372,651505.4564,6133325.922,6
44,11.38789111,55.32278694,32,1,0,3.496507561,0.693147181,0,3.465739028,1.00E-04,-9.210340372,651505.7285,6133308.729,3
45,11.38789306,55.32280667,16,4,3,2.833213344,1.609437912,1.386294361,2.772594972,1.386319361,1.098645621,651505.7766,6133310.928,1
46,11.38789639,55.32285278,84,3,17,4.442651256,1.386294361,2.890371758,4.430817989,1.098645621,2.833219226,651505.8121,6133316.065,10
47,11.38790556,55.32276389,78,1,5,4.369447852,0.693147181,1.791759469,4.356710109,1.00E-04,1.609457912,651506.7327,6133306.196,5
48,11.38795444,55.32309611,61,1,3,4.127134385,0.693147181,1.386294361,4.110875504,1.00E-04,1.098645621,651508.5664,6133343.262,4
49,11.38795472,55.32305167,26,0,3,3.295836866,0,1.386294361,3.258100384,-9.210340372,1.098645621,651508.7536,6133338.318,7
50,11.38795861,55.32300694,22,1,3,3.135494216,0.693147181,1.386294361,3.091046999,1.00E-04,1.098645621,651509.1709,6133333.352,1
51,11.38796139,55.32302917,29,3,22,3.401197382,1.386294361,3.135494216,3.367299278,1.098645621,3.091046999,651509.2624,6133335.83,4
52,11.38795917,55.32298528,60,1,7,4.110873864,0.693147181,2.079441542,4.094346229,1.00E-04,1.945924435,651509.2889,6133330.942,3
53,11.38796028,55.32296306,61,3,7,4.127134385,1.386294361,2.079441542,4.110875504,1.098645621,1.945924435,651509.4441,6133328.472,6
54,11.38795639,55.32289778,25,0,4,3.258096538,0,1.609437912,3.218879825,-9.210340372,1.386319361,651509.4465,6133321.202,6
55,11.38796083,55.32291944,30,1,0,3.433987204,0.693147181,0,3.401200715,1.00E-04,-9.210340372,651509.6458,6133323.622,4
56,11.38796056,55.32287361,28,0,1,3.36729583,0,0.693147181,3.332208082,-9.210340372,1.00E-04,651509.803,6133318.522,2
57,11.38796611,55.32294194,20,2,1,3.044522438,1.098612289,0.693147181,2.995737274,0.693197179,1.00E-04,651509.8947,6133326.137,5
58,11.38795944,55.32282861,35,4,2,3.583518938,1.609437912,1.098612289,3.555350919,1.386319361,0.693197179,651509.9042,6133313.514,6
59,11.38796056,55.32278694,30,0,0,3.433987204,0,0,3.401200715,-9.210340372,-9.210340372,651510.1337,6133308.881,9
60,11.38796306,55.32280694,48,18,16,3.891820298,2.944438979,2.833213344,3.871203094,2.890377313,2.772594972,651510.2159,6133311.111,9
61,11.38796667,55.32285333,77,1,13,4.356708827,0.693147181,2.63905733,4.343806721,1.00E-04,2.56495705,651510.268,6133316.28,10
62,11.38798083,55.32307333,25,1,0,3.258096538,0.693147181,0,3.218879825,1.00E-04,-9.210340372,651510.3273,6133340.786,9
63,11.38798917,55.32309639,50,2,2,3.931825633,1.098612289,1.098612289,3.912025005,0.693197179,0.693197179,651510.768,6133343.369,4
64,11.38799,55.32305194,28,3,1,3.36729583,1.386294361,0.693147181,3.332208082,1.098645621,1.00E-04,651510.9904,6133338.426,4
65,11.38797306,55.32276389,88,1,6,4.48863637,0.693147181,1.945910149,4.477337951,1.00E-04,1.791776136,651511.0146,6133306.343,3
66,11.38799333,55.32300722,22,2,5,3.135494216,1.098612289,1.791759469,3.091046999,0.693197179,1.609457912,651511.3725,6133333.458,4
67,11.38799611,55.32302917,30,2,28,3.433987204,1.098612289,3.36729583,3.401200715,0.693197179,3.332208082,651511.4649,6133335.905,3
68,11.38799417,55.32298528,40,4,4,3.713572067,1.609437912,1.609437912,3.688881954,1.386319361,1.386319361,651511.5091,6133331.018,8
69,11.38799139,55.32289778,15,0,6,2.772588722,0,1.945910149,2.708056868,-9.210340372,1.791776136,651511.6667,6133321.278,9
70,11.38799611,55.32296306,71,1,10,4.276666119,0.693147181,2.397895273,4.262681285,1.00E-04,2.302595093,651511.7172,6133328.55,5
71,11.38799583,55.32291944,32,4,0,3.496507561,1.609437912,0,3.465739028,1.386319361,-9.210340372,651511.866,6133323.698,1
72,11.38799556,55.32287333,50,0,6,3.931825633,0,1.945910149,3.912025005,-9.210340372,1.791776136,651512.0243,6133318.568,6
73,11.38799472,55.32282861,44,1,2,3.80666249,0.693147181,1.098612289,3.784191907,1.00E-04,0.693197179,651512.142,6133313.59,5
74,11.38800194,55.32294194,15,4,1,2.772588722,1.609437912,0.693147181,2.708056868,1.386319361,1.00E-04,651512.1678,6133326.214,1
75,11.387995,55.32278694,15,2,0,2.772588722,1.098612289,0,2.708056868,0.693197179,-9.210340372,651512.3186,6133308.955,10
76,11.38799806,55.32280694,48,17,21,3.891820298,2.890371758,3.091042453,3.871203094,2.833219226,3.0445272,651512.4361,6133311.187,8
