ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
1,11.38780944,55.3230425,119,1,11,4.787491743,0.693147181,2.48490665,4.779124333,1.00E-04,2.397904364,651499.573,6133336.983,9
2,11.38782056,55.32310889,46,1,0,3.850147602,0.693147181,0,3.82864357,1.00E-04,-9.210340372,651500.0246,6133344.393,4
3,11.38780917,55.32285889,516,0,175,6.248042875,0,5.170483995,6.246106959,-9.210340372,5.164786545,651500.2559,6133316.555,5
4,11.38782444,55.32308667,84,1,6,4.442651256,0.693147181,1.945910149,4.430817989,1.00E-04,1.791776136,651500.356,6133341.929,6
5,11.38782111,55.32299694,73,3,5,4.304065093,1.386294361,1.791759469,4.290460811,1.098645621,1.609457912,651500.4869,6133331.94,8
6,11.38782611,55.32306444,79,1,22,4.382026635,0.693147181,3.135494216,4.369449118,1.00E-04,3.091046999,651500.5465,6133339.46,9
7,11.38782333,55.32301778,47,4,8,3.871201011,1.609437912,2.197224577,3.850149729,1.386319361,2.079454042,651500.5484,6133334.262,9
8,11.38782278,55.32295056,51,5,3,3.951243719,1.791759469,1.386294361,3.931827594,1.609457912,1.098645621,651500.7696,6133326.783,4
9,11.38782222,55.32292722,85,4,18,4.454347296,1.609437912,2.944438979,4.442652433,1.386319361,2.890377313,651500.8234,6133324.186,2
10,11.38781611,55.322815,38,8,8,3.663561646,2.197224577,2.197224577,3.637588791,2.079454042,2.079454042,651500.8639,6133311.688,3
11,11.38782667,55.3229725,62,2,5,4.143134726,1.098612289,1.791759469,4.127135998,0.693197179,1.609457912,651500.9326,6133329.232,10
12,11.38782167,55.32288222,160,3,15,5.081404365,1.386294361,2.772588722,5.07517444,1.098645621,2.708056868,651500.9598,6133319.178,1
13,11.38782333,55.32290444,109,1,21,4.700480366,0.693147181,3.091042453,4.6913488,1.00E-04,3.0445272,651500.9808,6133321.654,6
14,11.3878225,55.32276917,74,0,11,4.317488114,0,2.48490665,4.304066445,-9.210340372,2.397904364,651501.444,6133306.602,7
15,11.38782444,55.32279333,81,0,7,4.406719247,0,2.079441542,4.394450389,-9.210340372,1.945924435,651501.4751,6133309.295,2
